Term,DAnalyst,DScientist,DArchitect,City,State
Oozie,0,0,18.1818181818,Tampa,FL
Hive,0,33.3333333333,18.1818181818,Tampa,FL
Java,1.96078431373,33.3333333333,18.1818181818,Tampa,FL
SPSS,5.88235294118,33.3333333333,0,Tampa,FL
Tableau,5.88235294118,66.6666666667,9.09090909091,Tampa,FL
R,9.80392156863,100,0,Tampa,FL
JavaScript,19.6078431373,33.3333333333,0,Tampa,FL
SQL,33.3333333333,100,63.6363636364,Tampa,FL
Cassandra,0,0,25,Raleigh,NC
HBase,0,0,25,Raleigh,NC
HBase,0,5.26315789474,7.69230769231,Arlington,TX
MongoDB,0,0,7.69230769231,Los Angeles,CA
NoSQL,0,0,25,Raleigh,NC
Matlab,2.5641025641,25,0,Raleigh,NC
C++,2.5641025641,0,0,Raleigh,NC
D3,0.729927007299,5.12820512821,0,Chicago,IL
JavaScript,2.5641025641,0,0,Raleigh,NC
JavaScript,7.69230769231,0,0,Garland,TX
C++,0.689655172414,19.3548387097,3.0303030303,Irving,TX
Hadoop,5.12820512821,25,50,Raleigh,NC
Pig,5.12820512821,25,25,Raleigh,NC
Java,10.2564102564,0,25,Raleigh,NC
Python,11.0294117647,52.1008403361,7.5,Boston,MA
Excel,38.1733021077,12.9166666667,6.95652173913,Jersey,NJ
SQL,46.1538461538,25,25,Raleigh,NC
SAS,10.5263157895,40,0,Gilbert,AZ
R,0,100,0,Pittsburgh,PA
Scala,0,8.82352941176,0,Anaheim,CA
Tableau,2.7027027027,0,0,Pittsburgh,PA
MapReduce,0,23.0769230769,15,Plano,TX
Scala,1.10619469027,6.77290836653,2.5,New York,NY
Excel,22.7272727273,0,0,Scottsdale,AZ
Pig,2.5641025641,26.6666666667,7.14285714286,Detroit,MI
R,10.2564102564,25,0,Raleigh,NC
Hadoop,0,0,14.2857142857,Miami,FL
Hive,0,15.3846153846,0,Santa Ana,CA
Ruby,0,0,18.1818181818,Tampa,FL
SAS,3.22580645161,0,0,Hialeah,FL
Excel,18.75,33.3333333333,33.3333333333,Columbus,OH
Tableau,13.3495145631,5.6338028169,14.6551724138,Newark,NJ
Perl,1.85185185185,8.69565217391,0,St. Louis,MO
R,3.22580645161,0,0,Hialeah,FL
Perl,0,16.6666666667,0,Scottsdale,AZ
NoSQL,0.485436893204,9.15492957746,18.9655172414,Newark,NJ
Python,5.75539568345,54.0540540541,10.7142857143,Atlanta,GA
JavaScript,6.45161290323,0,0,Hialeah,FL
Hive,0.729927007299,7.69230769231,6.3829787234,Chicago,IL
Pig,0,0,25,Phoenix,AZ
Flume,0.367647058824,0.840336134454,0,Boston,MA
R,14.406779661,78.9473684211,23.0769230769,Arlington,TX
Tableau,16.1290322581,0,33.3333333333,Hialeah,FL
HBase,0,0,38.8888888889,Austin,TX
Pig,1.17096018735,8.75,13.0434782609,Jersey,NJ
Shark,0,0,0,Jersey,NJ
Java,2.27272727273,21.4285714286,0,Irvine,CA
SAS,23.0769230769,25,25,Raleigh,NC
SPSS,2.5641025641,0,0,Durham,NC
Hive,0,0,16.6666666667,St.Petersburg,FL
JavaScript,9.61538461538,2.83687943262,28.5714285714,Seattle,WA
Flume,0,0,16.6666666667,Garland,TX
Flume,0,3.22580645161,0,Philadelphia,PA
JavaScript,7.14285714286,9.44206008584,10.6382978723,Fremont,CA
Cassandra,0.77519379845,3.62694300518,11.1111111111,San Jose,CA
NoSQL,0,0,0,Columbus,OH
R,10.2564102564,0,0,Durham,NC
Spark,0,20,0,Chandler,AZ
Shark,0,0,0,Santa Ana,CA
Java,10.6382978723,16.6666666667,0,Boulder,CO
C++,0,4.34782608696,0,St. Louis,MO
Pig,0,0,33.3333333333,Glendale,AZ
SQL,38.7096774194,0,66.6666666667,Hialeah,FL
Cassandra,0,9.09090909091,9.09090909091,Cincinnati,OH
Python,12.7659574468,26.6666666667,0,Boulder,CO
JavaScript,5.26315789474,0,18.1818181818,Cincinnati,OH
R,20.4081632653,51.9313304721,10.6382978723,Fremont,CA
JavaScript,4.54545454545,0,0,Phoenix,AZ
Cassandra,2.08333333333,50,20,FortWorth,TX
SQL,33.3333333333,0,50,Mesa,AZ
Scala,0.30487804878,2.1164021164,1.8691588785,Washington,DC
Perl,0,6.45161290323,0,Philadelphia,PA
Ruby,0,3.92156862745,0,LongBeach,CA
Excel,53.488372093,0,25,Houston,TX
Flume,0,0.858369098712,12.7659574468,Fremont,CA
R,5.12820512821,6.66666666667,7.14285714286,Detroit,MI
C++,13.9240506329,9.67741935484,0,Baltimore,MD
Tableau,12.1681415929,5.57768924303,12.5,New York,NY
Scala,1.31578947368,9.67741935484,0,Denver,CO
Spark,0,9.09090909091,9.09090909091,Cincinnati,OH
NoSQL,0,0,16.6666666667,Houston,TX
JavaScript,3.1746031746,6.66666666667,26.6666666667,Aurora,CO
ZooKeeper,0,2.22222222222,6.66666666667,Oakland,CA
Cassandra,0.242718446602,0.352112676056,9.48275862069,Newark,NJ
R,8.88888888889,50,0,Mesa,AZ
Tableau,10.1694915254,21.0526315789,3.84615384615,Arlington,TX
Spark,0,28.5714285714,0,Irvine,CA
Cassandra,1.37931034483,22.5806451613,21.2121212121,Irving,TX
Shark,0,0,0,Aurora,CO
ZooKeeper,0,0,4.34782608696,Jersey,NJ
SPSS,4.13793103448,22.5806451613,0,Irving,TX
JavaScript,6.89655172414,0,0,Santa Ana,CA
MapReduce,0,7.14285714286,0,Irvine,CA
D3.js,0,1.05633802817,0,Newark,NJ
Hive,5.12820512821,25,50,Raleigh,NC
Spark,0,14.7058823529,9.09090909091,Anaheim,CA
D3,0.702576112412,2.91666666667,0.869565217391,Jersey,NJ
Excel,37.5,100,0,Miami,FL
Hadoop,4.44964871194,31.25,26.0869565217,Jersey,NJ
Java,2.63157894737,29.6442687747,29.7297297297,San Francisco,CA
